nachname,vorname,partei,zuständige bundesländer, büro in deutschland plz, büro in deutschland stadt
Strack-Zimmermann,Marie-Agnes,FDP,"Berlin, Brandenburg, Hessen",40213,Düsseldorf
Streit,Joachim,Freie Wähler,"gesamtes Bundesgebiet",54634,Bitburg
Tegethoff,Kai,Volt,"gesamtes Bundesgebiet",Keine Angaben,Keine Angaben
von der Schulenburg,Michael,BSW,"Bremen, Niedersachsen",Keine Angaben,Keine Angaben
Voss,Axel,CDU,"In Nordrhein-Westfalen die Region Mittelrhein, zu der die Städte Köln, Bonn und Leverkusen sowie die Kreise RheinSieg und Rhein-Erft gehören.",53113,Bonn
Walsmann,Marion Erika,CDU,"Thüringen",99092,Erfurt
Warnke,Jan-Peter,BSW,"Mecklenburg-Vorpommern, Sachsen, Thüringen",17438,Wolgast
Weber,Manfred,CSU,"Bayern",94315,Straubing
Wechsler,Andrea,CDU,"Baden-Württemberg (Nordwürttemberg)",71638,Ludwigsburg
Wölken,Tiemo,SPD,"Bezirk Weser-Ems, Bundesland Bremen, Region Elbe-Weser",49074,Osnabrück
